sub_id,estado,fecha_inicio,fecha_termino
70,activa,2021-09-26,
71,activa,2021-05-22,
72,activa,2021-12-04,
73,activa,2021-04-08,
74,activa,2021-09-18,
75,cancelada,2021-07-16,2021-12-14
76,activa,2021-03-23,
77,cancelada,2020-06-05,2020-11-20
78,activa,2021-03-09,
79,activa,2020-11-21,
80,cancelada,2021-08-27,2021-12-09
81,activa,2021-08-26,
82,cancelada,2020-07-27,2021-07-06
83,cancelada,2021-09-20,2021-10-12
84,activa,2021-07-30,
85,activa,2020-08-13,
86,activa,2021-05-21,
87,cancelada,2021-10-14,2021-10-30
88,activa,2020-11-04,
89,activa,2020-05-15,
90,activa,2021-02-15,
91,cancelada,2021-04-06,2021-05-25
92,cancelada,2021-12-08,2021-12-14
93,cancelada,2020-06-25,2020-08-10
94,cancelada,2020-10-12,2021-02-03
95,activa,2021-05-30,
96,cancelada,2021-03-05,2021-05-12
97,activa,2020-09-09,
98,activa,2021-05-23,
99,activa,2021-05-28,
100,activa,2021-02-28,
101,activa,2020-05-01,
102,activa,2021-09-28,
103,activa,2021-10-17,
104,activa,2021-09-22,
105,cancelada,2021-01-17,2021-11-02
106,activa,2020-08-08,
107,activa,2021-06-15,
108,cancelada,2021-11-10,2021-11-27
109,cancelada,2021-02-22,2021-11-30
110,activa,2020-07-21,
111,cancelada,2021-03-13,2021-08-23
112,cancelada,2020-11-07,2020-11-07
113,cancelada,2020-08-07,2021-05-03
114,cancelada,2021-07-21,2021-09-27
115,activa,2020-06-21,
116,activa,2020-10-17,
117,activa,2021-02-27,
118,cancelada,2020-07-08,2020-12-06
119,activa,2021-08-06,
120,activa,2020-07-28,
121,activa,2020-12-13,
122,activa,2021-04-16,
123,activa,2021-01-21,
124,activa,2020-06-11,
125,activa,2020-11-03,
126,activa,2021-04-08,
127,activa,2021-07-09,
128,activa,2021-02-27,
129,activa,2021-08-24,
130,activa,2021-04-01,
131,cancelada,2021-05-19,2021-11-18
132,activa,2021-09-26,
133,activa,2021-03-05,
134,activa,2021-05-01,
135,activa,2020-10-22,
136,activa,2021-02-10,
137,activa,2021-08-20,
138,activa,2020-12-16,
139,cancelada,2020-06-13,2021-09-24
140,activa,2021-08-18,
141,activa,2020-07-24,
142,cancelada,2020-05-30,2021-01-02
143,activa,2021-07-03,
144,activa,2020-06-04,
145,activa,2021-01-23,
146,activa,2020-10-04,
147,cancelada,2021-07-21,2021-10-27
148,cancelada,2020-07-20,2020-12-29
149,cancelada,2021-12-10,2021-12-17
150,activa,2021-01-24,
151,cancelada,2021-01-29,2021-12-07
152,cancelada,2021-04-14,2021-10-03
153,activa,2021-01-17,
154,activa,2020-08-25,
155,cancelada,2020-05-14,2020-08-25
156,activa,2020-06-14,
157,activa,2021-01-09,
158,activa,2021-05-17,
159,activa,2021-07-02,
160,activa,2020-05-05,
161,activa,2021-08-09,
162,cancelada,2020-05-05,2020-07-14
163,cancelada,2021-05-12,2021-10-04
164,activa,2021-11-19,
165,cancelada,2021-06-26,2021-09-16
166,activa,2020-11-08,
167,activa,2020-10-21,
168,activa,2021-02-12,
169,activa,2021-08-12,
170,activa,2020-06-02,
171,activa,2021-11-19,
172,activa,2021-04-22,
173,activa,2020-11-20,
174,activa,2020-08-12,
175,activa,2021-08-04,
176,activa,2020-08-06,
177,cancelada,2021-07-09,2021-08-25
178,cancelada,2021-03-28,2021-10-31
179,cancelada,2020-12-04,2021-06-14
180,activa,2020-05-28,
181,activa,2021-09-10,
182,activa,2021-01-25,
183,cancelada,2020-07-20,2021-01-20
184,cancelada,2021-05-25,2021-07-07
185,cancelada,2021-01-09,2021-11-14
186,activa,2020-11-07,
187,activa,2020-09-24,
188,activa,2020-10-11,
189,cancelada,2021-07-13,2021-12-16
190,activa,2021-03-10,
191,activa,2021-05-30,
192,activa,2020-07-07,
193,activa,2021-04-06,
194,activa,2021-01-07,
195,cancelada,2020-05-20,2021-06-08
196,activa,2021-06-25,
197,activa,2021-09-27,
198,cancelada,2021-09-12,2021-11-16
199,activa,2020-11-18,
200,activa,2020-08-01,
201,activa,2020-12-01,
202,activa,2021-06-25,
203,cancelada,2020-12-31,2021-11-29
204,activa,2021-11-05,
205,activa,2021-05-29,
206,activa,2020-06-13,
207,activa,2021-11-27,
208,activa,2020-09-21,
209,cancelada,2021-04-23,2021-11-13
210,activa,2021-11-10,
211,activa,2021-09-29,
212,activa,2021-11-14,
213,cancelada,2021-11-22,2021-11-26
214,activa,2020-07-07,
215,activa,2021-04-12,
216,activa,2020-06-09,
217,activa,2020-08-01,
218,activa,2021-12-07,
219,activa,2020-05-27,
220,activa,2021-02-10,
221,cancelada,2020-06-09,2020-10-16
222,activa,2021-12-14,
223,activa,2021-07-05,
224,activa,2021-07-22,
225,activa,2020-12-28,
226,activa,2021-02-15,
227,activa,2021-03-25,
228,activa,2021-04-15,
229,activa,2020-07-29,
230,activa,2020-10-17,
231,activa,2021-06-30,
232,activa,2020-05-05,
233,cancelada,2021-06-04,2021-07-20
234,activa,2021-02-13,
235,activa,2021-07-21,
236,activa,2021-11-14,
237,cancelada,2020-09-28,2021-07-04
238,activa,2021-03-01,
239,activa,2021-01-16,
240,activa,2021-11-24,
241,cancelada,2021-05-30,2021-09-12
242,activa,2021-10-29,
243,activa,2021-04-17,
244,activa,2020-08-02,
245,activa,2021-05-31,
246,activa,2020-11-03,
247,activa,2020-07-15,
248,cancelada,2020-06-29,2021-02-26
249,activa,2020-12-01,
250,activa,2020-11-05,
251,cancelada,2021-07-12,2021-11-20
252,activa,2021-09-25,
253,activa,2021-06-29,
254,activa,2021-02-23,
255,activa,2020-07-23,
256,cancelada,2021-03-24,2021-10-09
257,activa,2021-10-06,
258,activa,2020-07-07,
259,activa,2020-05-03,
260,activa,2021-03-08,
261,activa,2020-07-22,
262,activa,2021-08-04,
263,activa,2020-08-24,
264,activa,2021-06-04,
265,cancelada,2021-01-24,2021-11-08
266,activa,2021-08-21,
267,activa,2021-01-09,
268,activa,2020-07-31,
269,cancelada,2020-08-28,2021-05-15
270,cancelada,2021-08-29,2021-09-23
271,activa,2021-03-29,
272,activa,2021-10-03,
273,activa,2021-11-09,
274,activa,2021-02-09,
275,activa,2020-08-14,
276,activa,2021-04-29,
277,activa,2020-08-04,
278,cancelada,2020-11-10,2021-03-16
279,cancelada,2021-04-17,2021-07-28
280,activa,2021-11-15,
281,cancelada,2021-08-15,2021-11-01
282,cancelada,2020-05-27,2021-01-01
283,cancelada,2021-10-12,2021-11-14
284,activa,2020-09-22,
285,activa,2020-07-04,
286,activa,2020-10-23,
287,cancelada,2021-02-13,2021-12-12
288,cancelada,2020-12-24,2021-11-30
289,cancelada,2021-01-24,2021-03-17
290,cancelada,2021-10-17,2021-11-13
291,cancelada,2021-07-01,2021-08-11
292,activa,2020-07-13,
293,activa,2020-06-06,
294,activa,2021-09-07,
295,activa,2021-06-30,
296,activa,2021-03-09,
297,activa,2021-08-16,
298,activa,2021-04-29,
299,activa,2021-07-14,
300,activa,2020-12-03,
301,activa,2021-03-16,
302,activa,2020-11-25,
303,activa,2020-10-07,
304,cancelada,2020-10-03,2021-08-12
305,activa,2020-08-26,
306,activa,2021-08-19,
307,cancelada,2020-10-13,2021-06-30
308,cancelada,2021-09-07,2021-09-28
309,activa,2021-08-27,
310,cancelada,2020-10-03,2021-08-11
311,cancelada,2020-10-25,2021-07-08
312,activa,2021-11-23,
313,activa,2020-09-17,
314,cancelada,2020-10-05,2020-12-07
315,cancelada,2021-03-09,2021-10-18
316,cancelada,2021-06-30,2021-10-05
317,cancelada,2021-10-06,2021-10-21
318,cancelada,2020-07-29,2020-10-17
319,activa,2021-07-29,
320,activa,2020-09-21,
321,activa,2020-10-13,
322,activa,2020-05-13,
323,activa,2020-10-30,
324,activa,2020-08-25,
325,activa,2020-11-18,
326,activa,2021-08-29,
327,cancelada,2021-07-09,2021-08-22
328,activa,2020-11-16,
329,activa,2020-08-19,
330,activa,2020-11-27,
331,activa,2020-11-04,
332,activa,2020-07-23,
333,activa,2021-11-20,
334,cancelada,2021-11-03,2021-11-09
335,cancelada,2021-07-15,2021-10-28
336,activa,2021-02-16,
337,activa,2021-03-21,
338,activa,2020-08-28,
339,cancelada,2021-11-09,2021-12-03
340,activa,2020-08-20,
341,activa,2021-10-27,
342,cancelada,2020-06-25,2021-11-14
343,activa,2020-05-13,
344,cancelada,2021-06-12,2021-09-23
345,activa,2021-08-29,
346,activa,2020-10-31,
347,activa,2021-07-11,
348,cancelada,2021-10-01,2021-12-04
349,activa,2020-09-30,
350,activa,2021-05-31,
351,activa,2020-06-13,
352,activa,2020-06-20,
353,activa,2021-03-31,
354,cancelada,2021-11-22,2021-12-18
355,activa,2021-02-15,
356,cancelada,2021-07-05,2021-07-19
357,activa,2020-08-18,
358,cancelada,2021-07-30,2021-12-19
359,activa,2021-12-03,
360,activa,2020-11-01,
361,activa,2021-04-08,
362,activa,2021-04-11,
363,activa,2021-03-01,
364,activa,2021-02-23,
365,cancelada,2021-08-21,2021-10-13
366,cancelada,2021-08-21,2021-10-26
367,activa,2020-11-13,
368,activa,2021-02-07,
369,activa,2020-09-14,
370,activa,2021-09-19,
371,activa,2021-04-12,
372,activa,2020-10-21,
373,activa,2020-08-25,
374,activa,2021-09-13,
375,activa,2020-11-10,
376,activa,2021-06-25,
377,activa,2020-12-12,
378,activa,2021-10-11,
379,cancelada,2021-06-16,2021-11-19
380,cancelada,2021-12-12,2021-12-18
381,cancelada,2020-08-05,2020-11-26
382,cancelada,2021-11-13,2021-11-24
383,cancelada,2020-08-09,2020-08-29
384,activa,2020-09-09,
385,activa,2021-12-13,
386,activa,2021-06-28,
387,activa,2021-09-08,
388,activa,2021-08-18,
389,cancelada,2020-06-08,2021-05-26
390,activa,2021-12-03,
391,cancelada,2021-05-27,2021-07-24
392,activa,2021-12-12,
393,activa,2021-12-14,
394,cancelada,2020-10-21,2021-01-08
395,cancelada,2021-06-08,2021-06-26
396,activa,2021-11-09,
397,cancelada,2021-06-26,2021-08-31
398,cancelada,2020-07-25,2020-10-10
399,cancelada,2020-11-30,2021-10-02
400,cancelada,2020-08-22,2021-09-27
401,cancelada,2020-09-14,2021-08-06
402,cancelada,2020-12-18,2021-09-11
403,activa,2020-11-25,
404,activa,2021-11-06,
405,activa,2021-03-06,
406,activa,2021-08-30,
407,activa,2020-11-11,
408,cancelada,2020-12-24,2021-11-09
409,activa,2021-01-05,
410,activa,2020-08-14,
411,activa,2020-12-24,
412,cancelada,2020-06-15,2020-09-28
413,activa,2020-07-09,
414,activa,2021-02-26,
415,activa,2020-06-28,
416,activa,2020-06-04,
417,activa,2020-08-13,
418,cancelada,2021-09-02,2021-10-06
419,activa,2020-10-12,
