uid,cid,fecha
41,85.0,2021-04-15
97,92.0,2021-06-22
22,88.0,2021-12-15
21,107.0,2020-06-16
73,114.0,2021-12-06
13,157.0,2021-10-16
12,71.0,2020-08-24
54,101.0,2021-03-22
5,93.0,2021-11-17
3,133.0,2021-07-29
70,148.0,2021-06-27
43,73.0,2021-10-31
43,103.0,2021-10-14
68,105.0,2021-04-03
33,106.0,2021-12-01
93,153.0,2021-12-05
63,17.0,2021-08-20
51,143.0,2021-05-24
22,98.0,2021-10-05
9,135.0,2020-06-24
8,84.0,2021-11-04
39,62.0,2021-12-05
60,85.0,2021-08-11
142,54.0,2021-07-24
142,150.0,2020-08-19
92,96.0,2021-12-10
122,127.0,2021-08-18
7,129.0,2021-12-18
8,85.0,2021-11-03
26,104.0,2021-07-18
18,128.0,2020-12-07
59,97.0,2021-11-04
115,48.0,2021-05-09
25,156.0,2021-06-27
45,133.0,2020-12-09
34,135.0,2021-01-08
22,150.0,2021-12-05
64,153.0,2021-12-02
46,118.0,2020-12-05
40,128.0,2021-06-07
4,147.0,2021-06-30
49,139.0,2021-11-03
44,75.0,2021-12-18
50,119.0,2021-11-10
23,60.0,2021-11-11
22,134.0,2021-12-17
23,106.0,2021-12-28
57,108.0,2020-07-02
76,124.0,2021-07-22
130,56.0,2021-12-24
21,156.0,2021-10-13
38,44.0,2020-10-22
132,23.0,2021-08-24
35,110.0,2021-08-27
77,7.0,2021-04-04
115,156.0,2021-11-03
49,149.0,2021-04-15
67,37.0,2021-09-01
43,115.0,2021-10-06
54,102.0,2021-03-22
16,142.0,2021-04-07
32,114.0,2021-12-05
130,60.0,2021-11-25
27,87.0,2021-07-28
41,84.0,2021-09-29
31,69.0,2021-03-02
60,146.0,2021-07-25
115,92.0,2021-07-03
119,133.0,2021-12-19
21,151.0,2021-01-17
32,139.0,2021-12-24
90,35.0,2021-09-05
53,65.0,2021-11-23
133,80.0,2021-08-24
90,109.0,2021-02-20
71,134.0,2021-04-28
97,134.0,2021-11-01
76,84.0,2021-07-30
70,108.0,2021-05-31
22,61.0,2021-12-05
115,100.0,2021-04-18
59,96.0,2021-11-07
82,140.0,2021-09-03
33,88.0,2021-12-03
13,73.0,2021-09-28
56,116.0,2021-11-25
14,133.0,2021-08-12
4,156.0,2020-12-24
146,62.0,2021-06-26
115,83.0,2020-12-03
22,105.0,2021-12-20
11,144.0,2021-02-24
66,126.0,2021-08-08
73,71.0,2021-01-30
23,108.0,2021-09-19
4,92.0,2021-07-07
37,131.0,2021-06-30
75,157.0,2021-12-15
43,139.0,2020-11-29
61,89.0,2021-07-31
40,138.0,2021-11-04
97,104.0,2021-10-21
60,141.0,2021-09-02
14,129.0,2021-04-12
48,54.0,2020-11-30
51,146.0,2021-03-07
119,87.0,2021-08-15
38,141.0,2020-11-16
8,116.0,2021-11-05
5,94.0,2021-11-21
1,139.0,2020-09-18
31,92.0,2020-10-09
52,101.0,2021-01-24
90,136.0,2021-04-16
141,112.0,2021-01-25
18,146.0,2021-10-31
22,56.0,2021-11-19
44,100.0,2021-12-06
132,137.0,2021-12-03
22,10.0,2020-10-02
97,148.0,2021-04-04
108,145.0,2021-11-14
74,132.0,2021-06-16
56,99.0,2021-10-22
32,125.0,2021-05-22
56,115.0,2020-12-07
26,90.0,2021-07-31
37,109.0,2021-09-20
77,21.0,2021-02-20
119,134.0,2021-12-16
54,79.0,2021-03-30
72,151.0,2020-09-16
72,96.0,2021-06-11
15,118.0,2021-07-06
22,88.0,2021-05-28
70,154.0,2021-09-10
14,115.0,2021-09-28
141,46.0,2020-10-04
38,4.0,2021-03-29
63,145.0,2021-12-09
58,134.0,2021-11-17
28,91.0,2021-05-11
6,157.0,2020-08-26
60,101.0,2021-08-09
30,10.0,2021-06-08
97,22.0,2021-12-29
115,141.0,2021-12-15
30,117.0,2021-06-22
106,101.0,2021-12-29
60,148.0,2021-07-18
24,109.0,2021-08-21
73,104.0,2021-08-09
106,103.0,2021-07-16
47,82.0,2021-05-24
59,144.0,2021-07-04
7,156.0,2021-12-20
52,88.0,2021-06-17
16,84.0,2021-03-07
75,133.0,2020-12-24
105,134.0,2020-11-24
36,151.0,2021-10-01
14,134.0,2021-05-17
54,75.0,2021-04-14
16,92.0,2021-12-07
22,132.0,2021-12-01
3,102.0,2021-07-15
142,77.0,2021-11-07
60,84.0,2021-07-13
76,143.0,2021-03-15
61,121.0,2021-10-01
60,87.0,2021-09-21
46,123.0,2021-02-28
142,139.0,2021-12-21
28,132.0,2021-12-03
17,98.0,2020-10-15
60,89.0,2021-08-25
132,75.0,2021-12-04
66,87.0,2021-09-11
4,87.0,2021-01-15
49,138.0,2021-10-12
22,157.0,2021-12-07
77,8.0,2020-08-29
142,143.0,2021-10-07
22,16.0,2020-12-05
17,87.0,2021-03-31
22,156.0,2020-11-23
142,102.0,2021-04-09
4,142.0,2021-02-21
115,138.0,2021-03-19
106,118.0,2021-06-08
76,125.0,2021-03-13
33,100.0,2021-10-31
11,151.0,2021-05-25
14,110.0,2021-12-01
17,96.0,2021-03-23
39,123.0,2021-11-30
22,87.0,2021-12-16
73,115.0,2021-06-01
66,107.0,2021-12-22
38,48.0,2021-03-18
50,96.0,2021-10-18
134,137.0,2021-11-23
11,130.0,2021-09-03
146,90.0,2020-08-17
3,147.0,2021-07-08
60,142.0,2021-08-26
64,85.0,2021-10-09
134,155.0,2021-11-16
33,95.0,2021-10-26
44,131.0,2021-09-09
65,94.0,2021-06-08
46,130.0,2021-04-20
77,4.0,2021-05-22
23,154.0,2021-12-17
49,112.0,2020-06-18
106,120.0,2020-12-24
4,86.0,2021-08-27
141,41.0,2021-03-20
61,127.0,2020-12-12
54,136.0,2021-12-03
8,138.0,2021-12-14
50,93.0,2021-09-20
23,107.0,2021-06-22
14,126.0,2020-12-09
68,156.0,2021-12-05
66,139.0,2021-09-26
8,92.0,2021-11-05
31,103.0,2021-12-13
142,51.0,2021-09-13
82,119.0,2021-08-30
36,102.0,2021-12-01
62,106.0,2021-03-30
23,145.0,2021-06-18
119,143.0,2021-11-23
12,5.0,2021-08-23
59,105.0,2021-11-19
108,93.0,2021-10-18
10,107.0,2021-12-12
53,131.0,2021-11-23
130,3.0,2021-11-07
9,137.0,2020-05-31
68,114.0,2021-10-12
65,83.0,2021-03-25
132,37.0,2021-10-15
40,104.0,2021-12-06
141,148.0,2021-03-11
93,82.0,2021-10-26
19,138.0,2020-07-18
47,86.0,2021-01-29
15,140.0,2020-11-14
119,141.0,2021-12-17
73,141.0,2021-07-02
7,139.0,2021-11-11
21,156.0,2021-08-07
74,133.0,2020-12-24
90,148.0,2020-12-15
66,75.0,2021-09-03
13,71.0,2021-09-10
16,137.0,2021-10-21
115,42.0,2021-08-24
39,128.0,2021-11-22
44,143.0,2021-12-14
76,116.0,2021-08-30
40,140.0,2021-03-26
51,141.0,2021-07-16
12,117.0,2021-11-23
65,121.0,2021-12-03
14,116.0,2021-08-16
40,133.0,2021-04-03
58,107.0,2021-09-15
19,150.0,2021-03-21
132,72.0,2021-12-14
66,120.0,2021-08-27
134,118.0,2021-09-05
43,135.0,2021-11-24
119,79.0,2021-09-28
67,105.0,2021-04-27
76,121.0,2021-08-13
34,153.0,2021-08-08
30,134.0,2021-06-12
59,146.0,2021-08-05
22,60.0,2021-12-29
36,118.0,2021-07-12
49,87.0,2021-10-08
51,92.0,2021-01-28
61,110.0,2020-12-21
48,52.0,2021-04-02
50,144.0,2021-08-29
63,108.0,2021-05-17
141,125.0,2021-04-17
72,75.0,2021-01-13
122,157.0,2021-05-04
71,82.0,2021-11-27
106,148.0,2020-11-14
56,114.0,2021-04-13
16,122.0,2021-02-27
70,14.0,2021-05-28
65,78.0,2021-02-18
24,152.0,2020-12-06
20,129.0,2021-11-10
44,139.0,2021-08-15
106,102.0,2021-12-27
70,29.0,2021-12-11
57,91.0,2021-07-20
63,116.0,2020-08-19
4,100.0,2021-03-24
41,112.0,2020-12-21
54,114.0,2021-06-02
133,131.0,2021-03-02
115,101.0,2021-05-20
133,110.0,2021-10-11
6,88.0,2021-07-22
14,9.0,2021-12-13
40,140.0,2021-12-12
45,81.0,2021-05-23
56,156.0,2021-01-12
18,150.0,2021-05-18
19,121.0,2021-08-29
32,123.0,2021-01-28
64,88.0,2021-09-05
50,122.0,2021-10-15
4,85.0,2021-05-21
8,135.0,2021-12-06
119,102.0,2021-08-24
36,102.0,2020-08-24
52,129.0,2021-08-25
108,85.0,2021-07-20
54,102.0,2021-08-02
55,10.0,2021-10-25
108,129.0,2021-11-04
5,95.0,2021-11-23
119,104.0,2021-11-13
74,138.0,2021-11-26
141,130.0,2021-01-27
119,77.0,2021-06-08
50,95.0,2021-08-02
115,44.0,2021-02-21
87,113.0,2021-03-24
67,107.0,2021-11-13
34,92.0,2021-03-17
6,80.0,2021-07-14
17,107.0,2021-07-10
105,91.0,2021-12-10
22,116.0,2021-11-22
39,48.0,2021-04-14
119,103.0,2021-08-02
52,122.0,2021-01-27
82,139.0,2021-08-31
40,138.0,2021-11-17
60,100.0,2021-09-08
7,153.0,2021-12-19
46,132.0,2021-12-29
77,73.0,2020-11-05
59,156.0,2021-12-26
93,83.0,2021-03-23
55,89.0,2021-07-04
97,90.0,2021-08-23
3,148.0,2020-10-29
65,104.0,2021-07-15
22,21.0,2021-09-23
37,110.0,2021-03-26
82,136.0,2021-08-30
22,118.0,2021-08-12
62,56.0,2021-01-20
54,100.0,2021-06-21
73,108.0,2021-09-14
146,61.0,2020-11-06
31,123.0,2021-12-28
93,94.0,2021-06-13
141,113.0,2020-10-25
16,86.0,2021-10-07
77,134.0,2021-08-06
73,70.0,2021-12-29
82,138.0,2021-09-03
30,118.0,2021-06-11
49,105.0,2021-08-08
54,132.0,2021-03-28
30,14.0,2021-06-11
59,106.0,2021-11-05
10,106.0,2021-06-24
142,116.0,2021-12-10
50,98.0,2021-10-06
32,54.0,2021-10-09
133,143.0,2021-11-13
115,143.0,2021-08-25
8,86.0,2021-12-21
18,98.0,2021-04-10
64,87.0,2021-09-18
73,142.0,2021-12-13
87,151.0,2020-11-19
23,127.0,2021-01-23
21,157.0,2021-06-24
49,70.0,2021-09-18
12,126.0,2021-07-25
141,124.0,2021-02-09
142,90.0,2021-01-30
76,142.0,2020-10-17
92,114.0,2021-07-05
68,122.0,2021-07-27
72,98.0,2021-05-26
22,146.0,2021-11-27
122,128.0,2021-10-30
49,72.0,2021-01-29
61,92.0,2021-06-11
106,85.0,2021-06-19
33,143.0,2021-12-03
108,103.0,2021-06-25
146,92.0,2020-07-13
8,127.0,2021-11-07
67,155.0,2021-12-12
16,124.0,2021-07-02
119,155.0,2020-12-15
92,107.0,2021-12-13
141,149.0,2021-02-16
24,90.0,2020-12-06
40,118.0,2020-12-21
49,101.0,2021-05-22
66,140.0,2021-08-13
115,78.0,2020-07-18
45,116.0,2021-12-23
16,62.0,2021-04-12
40,86.0,2021-09-19
44,129.0,2021-06-02
142,148.0,2021-12-25
62,25.0,2020-11-11
12,118.0,2021-06-28
77,72.0,2021-05-13
97,107.0,2021-11-17
26,107.0,2020-08-23
82,118.0,2021-09-03
54,137.0,2021-11-30
141,147.0,2021-03-02
25,154.0,2021-10-27
130,111.0,2021-09-26
14,42.0,2021-11-22
119,99.0,2021-11-28
8,140.0,2021-12-13
122,156.0,2021-05-18
43,30.0,2021-11-12
63,114.0,2021-12-21
26,102.0,2021-08-02
18,80.0,2021-05-15
146,137.0,2021-11-04
46,2.0,2021-07-21
71,133.0,2021-04-06
62,63.0,2021-07-18
68,54.0,2021-12-05
56,101.0,2021-10-22
43,72.0,2021-12-07
44,107.0,2021-06-08
55,22.0,2021-09-16
119,87.0,2021-12-05
73,87.0,2021-12-23
46,103.0,2021-08-08
70,135.0,2021-02-25
15,66.0,2021-01-30
14,35.0,2021-11-17
4,90.0,2021-07-13
18,106.0,2021-12-03
12,70.0,2021-08-17
1,140.0,2020-10-30
18,86.0,2021-07-20
92,153.0,2020-06-29
14,131.0,2021-01-10
44,113.0,2021-09-20
90,110.0,2021-04-28
23,61.0,2021-12-09
1,138.0,2020-10-05
21,142.0,2020-09-28
119,134.0,2021-07-18
119,101.0,2021-12-02
67,74.0,2021-10-11
55,9.0,2021-09-21
119,153.0,2021-03-14
26,103.0,2021-08-01
34,136.0,2021-05-11
4,88.0,2021-06-21
62,117.0,2021-02-27
31,90.0,2020-10-30
115,92.0,2021-03-14
73,143.0,2021-07-06
52,121.0,2021-03-02
35,7.0,2021-02-19
23,53.0,2021-12-24
12,3.0,2021-10-03
52,126.0,2021-11-27
105,133.0,2021-07-29
115,111.0,2021-02-22
4,130.0,2021-08-30
23,51.0,2021-12-28
13,132.0,2021-09-02
14,127.0,2020-12-03
46,132.0,2020-07-29
23,105.0,2021-11-12
38,37.0,2021-08-03
63,93.0,2021-09-12
14,150.0,2021-12-19
49,122.0,2021-11-27
92,95.0,2021-12-13
23,126.0,2021-04-21
49,89.0,2021-08-21
82,117.0,2021-09-03
45,138.0,2021-10-21
106,100.0,2021-12-28
39,90.0,2021-11-11
22,131.0,2020-10-05
22,129.0,2021-10-20
7,65.0,2021-11-20
17,89.0,2021-11-07
35,109.0,2021-07-01
21,143.0,2021-12-03
39,127.0,2021-11-23
13,134.0,2021-05-11
73,88.0,2021-10-22
56,143.0,2021-09-29
72,73.0,2020-12-11
66,127.0,2021-07-29
25,153.0,2021-04-02
29,92.0,2021-07-15
32,115.0,2021-12-26
3,132.0,2021-09-21
39,157.0,2021-04-25
62,119.0,2021-07-22
39,49.0,2021-04-13
49,74.0,2021-01-31
57,91.0,2020-06-25
12,4.0,2021-11-26
108,104.0,2021-09-11
71,132.0,2021-05-01
108,95.0,2021-09-18
106,115.0,2021-12-19
48,121.0,2021-06-13
49,74.0,2021-11-23
49,94.0,2021-09-17
108,144.0,2021-10-31
16,102.0,2020-11-13
15,5.0,2021-06-04
92,93.0,2021-12-09
70,24.0,2021-08-22
30,111.0,2021-05-10
77,106.0,2021-12-14
18,107.0,2021-01-21
141,117.0,2020-12-23
141,137.0,2020-08-17
64,142.0,2021-06-29
22,157.0,2021-11-03
57,92.0,2020-07-30
3,100.0,2021-08-14
73,54.0,2021-06-24
68,120.0,2021-05-18
21,86.0,2021-05-15
13,133.0,2021-12-03
36,157.0,2021-09-01
142,149.0,2021-12-16
22,55.0,2021-11-15
50,66.0,2021-09-01
23,128.0,2020-09-16
54,81.0,2021-08-01
66,125.0,2021-09-21
37,71.0,2021-11-22
8,106.0,2021-10-21
55,149.0,2021-05-23
52,140.0,2021-08-07
36,86.0,2021-07-29
46,72.0,2021-12-06
31,129.0,2020-11-22
64,141.0,2021-07-24
73,48.0,2021-07-07
6,89.0,2021-10-22
12,92.0,2021-08-06
49,120.0,2021-12-29
27,88.0,2021-10-18
22,144.0,2021-12-24
75,90.0,2020-08-28
132,70.0,2021-11-25
56,142.0,2021-10-23
66,105.0,2021-05-16
67,39.0,2021-11-01
61,120.0,2021-11-15
69,135.0,2021-12-24
106,107.0,2021-12-14
16,89.0,2021-05-08
19,151.0,2021-04-14
64,133.0,2021-06-05
87,150.0,2020-10-17
23,139.0,2021-12-29
77,133.0,2021-03-11
73,74.0,2021-11-04
16,61.0,2021-02-25
66,72.0,2021-09-13
133,145.0,2021-12-07
22,87.0,2021-10-12
34,137.0,2021-02-06
69,98.0,2021-07-01
48,98.0,2021-07-04
56,141.0,2021-08-08
46,69.0,2020-09-12
93,154.0,2021-11-11
10,132.0,2021-06-27
59,157.0,2021-12-01
82,106.0,2021-07-16
76,91.0,2021-09-05
92,94.0,2021-12-08
21,157.0,2021-05-11
119,73.0,2021-10-22
76,86.0,2021-09-19
43,74.0,2021-09-27
46,134.0,2021-12-13
25,1.0,2021-12-03
44,94.0,2021-10-21
106,112.0,2021-06-13
38,143.0,2021-06-27
44,96.0,2021-11-19
37,129.0,2021-09-06
33,93.0,2021-11-19
46,129.0,2021-05-28
75,146.0,2021-12-15
54,147.0,2021-08-12
23,110.0,2021-08-16
74,50.0,2021-07-08
122,91.0,2021-03-21
24,113.0,2021-07-07
141,129.0,2020-12-13
61,87.0,2021-04-04
49,71.0,2021-12-23
43,137.0,2021-01-10
70,137.0,2021-10-23
122,126.0,2021-08-10
119,142.0,2021-11-27
13,40.0,2021-06-03
22,77.0,2021-06-23
36,110.0,2020-06-20
70,155.0,2021-12-17
115,145.0,2021-02-14
8,154.0,2021-11-03
119,106.0,2021-12-21
13,47.0,2021-01-17
16,156.0,2021-12-25
14,128.0,2020-09-26
75,102.0,2021-12-14
92,101.0,2020-11-19
132,24.0,2021-07-23
50,69.0,2021-10-12
19,98.0,2020-06-12
141,135.0,2020-10-02
90,49.0,2021-09-29
8,139.0,2021-11-28
14,104.0,2021-07-27
64,154.0,2021-07-11
133,77.0,2021-09-01
54,17.0,2021-08-06
46,131.0,2021-05-14
74,35.0,2021-07-09
4,157.0,2021-02-06
26,92.0,2021-06-06
92,115.0,2020-10-18
65,95.0,2021-04-21
44,98.0,2021-09-09
95,137.0,2021-04-06
51,154.0,2020-11-02
39,125.0,2021-08-24
106,111.0,2021-06-14
92,85.0,2021-12-13
40,102.0,2021-09-22
30,153.0,2021-10-20
8,107.0,2021-05-26
48,122.0,2021-11-21
92,146.0,2021-08-09
97,85.0,2021-08-16
20,131.0,2021-11-08
92,121.0,2021-09-07
119,88.0,2021-11-29
52,130.0,2021-10-27
52,139.0,2021-09-23
122,129.0,2021-08-26
132,147.0,2021-12-11
15,145.0,2021-12-29
59,132.0,2021-07-19
4,149.0,2021-08-26
106,150.0,2021-06-16
49,140.0,2021-09-19
44,95.0,2021-11-29
12,127.0,2021-07-20
77,75.0,2021-08-22
77,66.0,2021-07-07
11,152.0,2020-11-06
45,90.0,2020-11-30
50,67.0,2021-07-22
76,92.0,2021-08-12
2,128.0,2020-07-05
10,133.0,2021-01-07
106,149.0,2020-12-21
67,71.0,2021-05-31
73,140.0,2021-07-28
106,107.0,2021-12-22
7,93.0,2021-08-27
37,133.0,2021-08-19
132,47.0,2021-05-21
122,92.0,2021-12-06
22,4.0,2021-04-11
22,133.0,2021-11-23
40,134.0,2021-05-04
115,123.0,2021-02-03
1,157.0,2021-11-13
73,119.0,2021-06-09
23,57.0,2021-05-12
44,99.0,2021-08-13
36,67.0,2021-10-22
39,156.0,2021-06-20
132,49.0,2021-08-01
4,103.0,2021-08-27
130,117.0,2021-06-28
23,113.0,2021-09-21
132,135.0,2021-12-28
30,27.0,2021-06-13
25,115.0,2021-03-10
24,151.0,2021-01-17
141,119.0,2021-03-13
46,4.0,2021-07-23
18,85.0,2020-10-20
22,5.0,2020-12-10
119,78.0,2021-03-10
37,72.0,2021-11-13
115,31.0,2020-07-24
61,88.0,2021-03-21
7,145.0,2021-08-04
123,68.0,2021-06-08
68,106.0,2021-12-02
39,73.0,2021-08-29
115,111.0,2021-06-10
46,133.0,2020-12-07
16,3.0,2020-12-03
119,89.0,2021-12-27
44,101.0,2021-10-19
7,130.0,2021-12-24
90,124.0,2021-05-31
24,124.0,2020-11-19
141,117.0,2021-02-10
133,156.0,2021-09-30
106,58.0,2021-06-19
108,84.0,2021-10-31
58,133.0,2021-10-28
67,72.0,2021-10-18
77,19.0,2021-02-28
40,126.0,2020-11-12
87,96.0,2021-02-01
23,144.0,2021-09-13
59,107.0,2021-12-29
142,92.0,2021-06-04
3,104.0,2021-08-09
37,75.0,2021-11-11
43,25.0,2021-10-05
22,138.0,2021-12-20
40,70.0,2021-06-02
141,91.0,2020-11-25
49,71.0,2021-09-28
22,52.0,2021-12-21
133,142.0,2021-09-21
7,154.0,2021-12-18
54,99.0,2021-05-01
54,103.0,2021-07-15
134,154.0,2021-11-15
33,89.0,2021-12-19
61,90.0,2021-05-01
2,107.0,2021-09-28
50,74.0,2021-10-06
18,77.0,2021-03-27
141,37.0,2021-03-20
67,70.0,2021-10-23
65,76.0,2021-09-08
40,139.0,2021-11-16
77,5.0,2021-06-15
65,103.0,2021-07-15
38,34.0,2020-09-17
38,68.0,2021-07-14
57,92.0,2021-06-29
66,146.0,2021-10-25
1,38.0,2020-10-06
43,136.0,2021-06-03
119,88.0,2021-12-03
90,89.0,2021-04-14
77,100.0,2021-04-04
16,43.0,2020-08-11
64,86.0,2021-08-28
141,119.0,2021-10-28
41,126.0,2021-06-08
54,82.0,2021-03-09
17,115.0,2021-09-04
56,157.0,2021-01-03
52,87.0,2021-08-08
49,147.0,2020-11-25
18,78.0,2020-11-29
55,147.0,2021-04-14
30,107.0,2021-07-01
141,131.0,2020-08-20
11,90.0,2021-09-21
92,155.0,2020-07-05
76,123.0,2021-05-14
16,58.0,2020-08-04
73,88.0,2021-02-08
8,73.0,2021-11-06
33,99.0,2021-01-25
36,104.0,2021-02-20
106,103.0,2021-12-23
142,73.0,2021-12-16
106,134.0,2021-12-28
134,153.0,2021-10-17
11,131.0,2021-12-29
76,120.0,2021-07-27
54,104.0,2021-07-08
58,132.0,2021-07-25
22,140.0,2021-11-28
134,117.0,2021-10-25
26,120.0,2021-02-03
44,111.0,2021-09-08
108,146.0,2021-12-01
22,11.0,2021-03-16
23,67.0,2021-10-14
36,104.0,2021-11-01
106,151.0,2021-12-27
17,88.0,2020-10-07
141,111.0,2020-08-31
48,58.0,2021-04-05
2,105.0,2021-10-23
65,93.0,2021-07-30
26,69.0,2021-08-03
43,20.0,2021-11-21
33,141.0,2021-12-21
67,120.0,2020-12-19
45,132.0,2020-08-02
106,152.0,2021-12-20
45,20.0,2021-05-22
26,122.0,2021-02-11
75,92.0,2020-09-08
26,113.0,2021-01-30
105,99.0,2021-10-21
141,89.0,2021-01-21
26,148.0,2021-10-08
70,136.0,2021-10-20
18,85.0,2021-06-27
40,127.0,2021-10-26
90,108.0,2020-11-13
119,144.0,2021-06-22
12,68.0,2021-09-19
82,156.0,2020-12-23
22,106.0,2021-12-04
39,74.0,2021-12-08
22,20.0,2021-03-17
44,155.0,2021-05-24
59,94.0,2021-12-04
134,136.0,2021-08-13
28,90.0,2021-07-07
43,150.0,2021-11-15
141,85.0,2020-05-06
51,99.0,2021-03-17
35,85.0,2021-12-15
41,49.0,2020-07-04
66,89.0,2021-12-04
1,90.0,2021-08-27
106,114.0,2021-12-27
90,21.0,2021-01-03
31,125.0,2021-11-28
15,1.0,2021-05-26
22,82.0,2021-01-16
18,84.0,2020-11-10
18,151.0,2021-12-10
16,136.0,2021-07-15
75,134.0,2020-09-08
58,81.0,2020-08-26
97,105.0,2021-12-27
92,81.0,2021-04-10
142,152.0,2020-08-17
66,124.0,2021-08-31
19,122.0,2021-04-10
132,136.0,2021-12-26
68,150.0,2021-07-03
119,80.0,2021-10-16
142,115.0,2021-07-06
119,86.0,2021-04-11
72,104.0,2020-11-11
69,97.0,2021-09-26
36,84.0,2021-08-30
92,84.0,2021-06-30
41,115.0,2021-11-07
8,75.0,2021-11-04
22,96.0,2021-01-22
30,106.0,2021-10-12
43,114.0,2021-11-06
37,132.0,2021-09-11
106,99.0,2021-12-15
63,115.0,2021-02-13
61,109.0,2021-03-06
67,31.0,2021-09-29
54,76.0,2021-06-15
30,119.0,2021-06-21
21,77.0,2021-10-20
40,73.0,2021-12-19
41,114.0,2021-08-30
122,131.0,2021-03-31
59,85.0,2021-07-11
73,110.0,2021-10-07
16,66.0,2020-09-09
90,138.0,2021-10-04
46,139.0,2021-07-02
35,82.0,2021-09-21
87,149.0,2020-10-11
40,84.0,2021-05-26
66,123.0,2021-09-10
119,105.0,2021-12-13
106,150.0,2021-12-18
49,66.0,2021-09-24
68,151.0,2021-10-12
8,155.0,2021-11-06
16,124.0,2021-10-09
51,112.0,2021-08-12
48,97.0,2021-11-24
67,153.0,2021-04-03
54,115.0,2021-06-29
54,18.0,2021-11-16
106,106.0,2021-12-14
43,9.0,2021-12-27
39,126.0,2021-08-10
119,102.0,2021-08-02
75,103.0,2021-12-13
70,142.0,2021-12-18
17,100.0,2021-04-04
122,140.0,2021-07-18
45,8.0,2021-06-11
44,106.0,2021-10-22
133,145.0,2021-10-01
6,78.0,2021-09-10
105,101.0,2021-11-13
4,91.0,2021-07-04
76,115.0,2021-09-12
24,108.0,2021-04-24
130,112.0,2021-10-21
76,122.0,2021-09-20
66,145.0,2021-09-03
40,139.0,2021-11-01
7,138.0,2021-08-26
119,107.0,2021-12-07
16,125.0,2021-10-29
23,52.0,2021-05-09
73,87.0,2021-04-12
12,91.0,2021-11-28
13,34.0,2021-02-11
122,138.0,2021-09-09
75,110.0,2021-12-12
46,104.0,2021-03-03
77,132.0,2021-11-25
