uid,pid,fecha
26,13,2021-07-22
41,26,2021-08-30
132,27,2021-08-08
63,20,2021-12-07
50,78,2020-09-14
134,85,2021-08-18
43,83,2021-11-12
69,83,2021-05-22
48,86,2021-03-25
80,1,2021-09-29
60,20,2020-07-28
28,72,2021-12-14
15,60,2021-11-29
40,99,2021-09-01
142,70,2021-10-26
9,45,2021-11-10
63,1,2021-05-03
50,43,2021-10-06
93,96,2021-09-09
75,85,2021-12-05
55,64,2021-05-12
72,36,2020-11-09
67,43,2021-06-14
39,45,2021-06-18
61,5,2021-04-05
119,42,2021-12-03
123,13,2021-06-06
92,53,2020-11-21
55,39,2021-12-12
46,72,2021-01-26
6,62,2021-12-10
75,35,2021-12-11
142,21,2021-08-21
7,84,2021-12-29
58,35,2021-12-30
5,13,2020-12-24
90,77,2021-12-24
21,36,2021-09-19
6,62,2020-09-25
35,39,2021-03-30
122,74,2021-03-03
4,31,2021-08-02
115,5,2021-09-07
77,54,2020-11-08
48,65,2020-11-19
4,21,2020-12-05
24,5,2020-12-27
51,75,2021-06-27
47,82,2021-01-14
82,77,2021-07-09
93,70,2021-08-08
68,53,2021-11-27
34,51,2021-07-10
18,34,2021-04-20
122,36,2021-03-08
19,32,2020-06-25
62,81,2021-12-11
130,85,2021-10-30
146,40,2021-09-01
55,100,2021-05-19
90,48,2021-01-09
122,62,2021-12-25
54,43,2021-03-09
31,37,2021-12-24
122,78,2021-08-17
9,31,2021-10-30
6,9,2021-01-30
1,1,2021-12-13
36,21,2021-04-19
17,81,2021-07-03
122,5,2021-12-16
47,95,2020-09-28
46,75,2021-08-25
61,2,2021-07-04
46,82,2020-12-14
45,49,2021-09-25
46,5,2021-01-24
23,19,2021-05-23
36,68,2021-12-20
17,65,2020-09-20
9,20,2021-10-31
20,81,2021-10-12
31,99,2021-10-02
60,96,2020-07-27
97,101,2021-10-18
19,82,2020-08-14
58,65,2021-08-06
142,19,2021-12-18
92,35,2021-07-23
133,42,2021-03-06
19,5,2021-06-08
35,21,2021-09-16
133,40,2020-12-04
48,38,2020-11-16
77,42,2020-10-20
60,17,2020-10-30
95,83,2021-10-03
35,95,2021-03-07
70,93,2021-06-01
5,8,2021-11-20
23,100,2021-08-28
53,62,2021-11-25
119,5,2021-10-11
8,80,2021-05-01
46,42,2021-06-20
37,40,2021-11-21
69,35,2021-10-31
45,45,2021-11-02
47,88,2021-02-15
108,31,2021-11-20
14,51,2020-12-06
59,73,2021-05-19
31,42,2021-06-02
50,54,2021-10-25
49,77,2021-12-02
32,19,2021-11-21
17,51,2021-11-10
97,17,2021-05-26
87,41,2021-08-01
19,1,2021-12-09
134,75,2020-10-11
2,66,2021-02-15
20,5,2021-10-26
43,70,2021-11-26
115,40,2021-01-28
90,37,2021-06-19
64,39,2021-09-01
130,51,2021-01-30
37,54,2021-04-22
67,50,2021-07-26
64,64,2021-05-07
12,48,2021-04-05
40,31,2021-07-01
26,65,2020-09-11
123,74,2020-09-05
72,93,2021-11-20
45,19,2021-07-02
48,97,2021-12-22
45,21,2021-07-13
48,99,2021-10-03
93,35,2021-12-08
41,26,2021-05-03
44,26,2021-09-17
67,40,2021-10-10
55,27,2020-09-18
87,50,2021-10-13
2,93,2020-09-17
5,48,2021-11-24
50,32,2021-12-18
9,73,2021-10-30
17,75,2021-04-24
2,96,2021-04-14
35,42,2021-05-23
60,1,2020-11-10
62,60,2021-08-15
82,100,2021-09-19
11,83,2021-09-22
11,26,2021-09-09
130,85,2021-09-04
76,90,2020-08-27
33,99,2021-10-14
93,35,2021-11-14
38,33,2021-06-03
15,35,2021-11-22
56,35,2021-06-13
20,88,2021-11-17
97,60,2021-10-08
146,5,2021-10-09
132,59,2021-12-09
64,31,2021-11-18
54,95,2021-05-19
58,42,2021-11-30
142,99,2020-11-22
1,73,2021-10-29
51,72,2020-12-08
51,61,2021-07-11
19,19,2021-10-20
130,41,2021-07-26
27,65,2021-06-16
92,39,2021-02-01
24,38,2021-03-22
23,54,2021-08-31
55,27,2020-10-02
1,70,2021-12-16
13,27,2021-05-07
40,80,2021-11-25
108,14,2021-07-17
37,17,2021-07-27
33,30,2021-11-26
31,38,2021-11-27
142,80,2021-12-23
72,96,2021-02-12
20,54,2021-11-26
32,5,2021-11-16
82,33,2021-01-06
87,42,2021-07-12
12,51,2021-01-30
15,37,2021-05-07
52,73,2021-11-01
53,13,2021-11-23
141,54,2021-02-09
28,50,2021-06-05
65,13,2021-01-11
35,82,2021-06-08
37,42,2021-10-19
46,96,2021-02-11
58,50,2021-12-16
17,61,2021-04-20
25,100,2020-12-02
59,97,2021-04-16
141,7,2021-02-04
24,54,2021-08-04
8,78,2021-05-01
119,75,2021-10-05
92,42,2021-05-04
38,44,2021-03-22
11,77,2021-12-03
24,77,2021-07-09
59,79,2021-08-11
87,72,2021-12-17
43,59,2021-10-26
31,97,2021-05-11
97,54,2021-10-12
44,88,2021-12-03
59,33,2021-12-09
11,45,2021-02-03
43,20,2021-08-25
4,100,2021-02-06
63,21,2020-11-24
142,75,2021-09-25
5,64,2021-11-19
142,54,2021-09-04
51,72,2021-01-03
9,66,2021-11-05
64,48,2021-09-09
41,86,2021-05-03
93,21,2021-12-11
50,23,2021-09-18
48,49,2021-11-20
11,21,2021-03-05
57,101,2021-11-21
53,5,2021-11-25
48,13,2021-03-01
17,5,2021-09-25
74,53,2020-11-15
55,84,2021-09-19
18,32,2021-12-08
13,34,2021-09-29
87,65,2021-09-08
132,27,2021-11-29
26,78,2021-07-12
14,7,2021-09-15
90,94,2020-10-23
12,83,2021-11-06
50,2,2021-03-20
130,19,2021-11-21
75,48,2021-02-13
45,99,2020-07-24
17,65,2021-09-03
55,78,2021-05-26
24,95,2021-12-29
20,54,2021-09-29
20,50,2021-12-19
122,17,2021-03-12
40,82,2021-07-22
25,86,2021-10-03
19,20,2021-12-28
5,42,2021-11-21
32,78,2021-12-23
16,81,2021-11-02
52,30,2021-11-21
134,48,2021-09-20
5,5,2021-12-04
8,38,2021-06-12
106,72,2021-02-02
50,2,2021-12-16
90,40,2021-09-24
47,48,2021-01-08
97,99,2021-05-01
141,60,2021-02-25
134,50,2021-09-25
19,8,2020-07-14
122,61,2021-03-24
9,86,2021-08-14
142,101,2021-09-30
57,77,2021-08-12
21,13,2021-09-24
60,60,2020-10-30
130,72,2021-07-29
19,5,2021-12-20
133,65,2021-09-22
12,54,2021-04-14
4,75,2021-04-12
55,100,2021-10-16
30,2,2021-06-08
82,100,2021-04-09
59,20,2021-01-30
97,72,2021-10-27
69,85,2021-10-09
58,60,2021-10-02
30,90,2021-06-07
59,13,2020-08-28
59,76,2021-12-11
45,37,2020-09-25
5,44,2021-05-31
106,21,2021-12-13
56,60,2020-09-26
24,48,2020-12-18
32,38,2021-12-11
5,13,2021-12-13
1,83,2021-08-18
122,9,2021-10-17
80,101,2021-09-21
2,5,2021-03-24
22,61,2021-11-13
52,66,2021-11-28
68,48,2021-04-14
43,8,2021-10-20
115,83,2021-06-25
25,26,2021-06-23
106,48,2021-12-18
50,75,2021-10-23
12,88,2021-01-21
57,54,2021-09-10
130,51,2020-11-08
115,37,2020-09-12
24,38,2021-12-08
19,42,2020-09-15
53,9,2021-11-25
9,45,2021-11-01
41,38,2021-08-17
12,29,2021-09-27
24,77,2020-12-11
119,54,2021-11-19
2,49,2021-08-22
31,19,2020-12-15
146,45,2021-07-04
119,77,2021-11-23
31,48,2021-12-02
9,73,2021-11-01
21,20,2021-06-13
44,45,2021-12-14
130,17,2021-07-23
31,19,2021-02-26
47,64,2021-02-17
133,74,2021-10-06
13,7,2021-06-11
43,74,2021-11-10
122,26,2021-12-27
12,27,2021-03-12
105,26,2021-11-09
105,61,2021-04-21
142,95,2021-09-12
51,64,2020-09-11
10,86,2021-11-21
58,2,2021-04-15
67,37,2021-09-07
105,48,2021-12-23
34,80,2020-12-25
20,48,2021-08-29
97,50,2021-03-27
50,14,2021-08-02
68,54,2021-10-21
90,33,2021-07-29
141,99,2021-03-04
2,101,2021-09-13
32,88,2021-06-15
1,72,2021-12-12
130,85,2020-12-25
141,51,2020-12-06
2,76,2021-07-24
76,35,2021-08-25
17,26,2021-08-04
132,100,2021-11-02
90,64,2020-09-03
72,5,2020-12-23
41,77,2021-04-16
44,39,2021-09-26
7,54,2021-10-12
71,64,2021-06-17
93,5,2021-06-29
7,36,2021-08-04
21,35,2021-06-18
9,66,2021-11-04
55,54,2021-12-16
46,35,2021-05-04
21,13,2020-10-06
5,31,2021-02-15
60,50,2021-01-23
39,80,2021-07-18
1,72,2021-12-15
50,75,2021-10-09
115,42,2020-10-14
20,65,2021-12-12
37,48,2021-07-26
25,78,2021-08-24
142,49,2021-12-14
141,48,2021-07-23
142,80,2021-12-23
65,62,2021-06-03
119,21,2021-03-13
141,35,2021-03-08
35,82,2021-12-24
65,82,2021-07-23
19,35,2020-08-25
132,59,2021-12-21
21,45,2020-08-24
76,74,2021-03-05
1,85,2021-07-26
123,62,2020-09-30
65,78,2021-06-01
52,31,2021-10-12
59,97,2021-03-09
26,65,2021-11-08
33,100,2020-09-24
11,38,2021-09-16
62,11,2021-12-22
4,42,2021-09-27
130,88,2021-08-31
19,64,2020-10-05
66,75,2021-08-03
122,39,2021-07-22
115,80,2021-01-28
59,66,2021-04-01
141,31,2020-11-04
48,65,2021-11-12
42,13,2021-02-02
80,66,2021-06-22
63,62,2021-09-21
93,42,2021-03-18
50,75,2021-06-08
67,51,2021-09-04
50,8,2021-12-12
132,90,2021-06-21
46,27,2020-06-06
80,5,2021-07-24
65,31,2021-12-13
72,66,2021-03-06
36,95,2020-10-09
28,45,2020-08-25
72,62,2021-11-29
1,74,2021-09-13
123,84,2021-01-28
92,21,2021-12-11
41,33,2021-06-28
92,85,2021-08-08
53,78,2021-11-24
72,82,2020-10-19
130,65,2021-07-25
92,75,2021-12-12
50,100,2021-07-15
77,17,2021-11-08
4,75,2021-01-08
48,20,2021-03-08
67,76,2021-09-24
30,61,2021-10-04
48,80,2021-02-20
45,38,2020-09-29
122,26,2021-07-21
42,99,2020-11-04
41,37,2021-08-10
26,88,2021-11-03
16,101,2021-09-26
59,33,2021-12-29
36,83,2021-12-10
80,96,2021-06-02
36,60,2020-08-15
31,44,2021-08-20
108,101,2021-12-14
97,65,2021-10-19
57,99,2021-07-17
12,50,2021-06-01
31,33,2021-11-27
2,100,2021-11-22
25,51,2021-02-27
20,85,2021-09-22
12,90,2021-12-27
20,65,2021-12-21
17,95,2021-10-09
105,65,2021-10-14
115,62,2020-07-04
119,72,2021-06-29
71,82,2021-10-22
133,21,2021-09-20
4,26,2021-05-18
44,75,2021-10-06
130,72,2021-09-11
80,20,2021-09-28
105,5,2021-05-17
4,81,2020-08-09
40,20,2021-12-08
115,37,2020-06-30
146,5,2020-07-03
35,75,2021-04-21
60,82,2020-12-14
65,84,2021-01-08
21,75,2021-09-28
28,99,2021-04-19
74,7,2021-11-18
64,73,2021-08-03
70,49,2021-09-01
27,41,2021-07-26
67,48,2021-12-14
57,36,2021-01-24
46,5,2021-12-11
70,38,2021-10-21
132,50,2021-12-08
28,99,2021-03-13
72,74,2021-06-30
95,40,2021-06-23
11,65,2021-02-18
108,39,2021-07-01
115,88,2021-11-14
134,81,2021-09-30
65,5,2021-07-14
133,62,2021-08-22
67,48,2021-11-24
74,75,2021-12-12
132,64,2021-11-20
9,97,2021-11-07
67,80,2021-09-16
50,42,2021-12-22
57,75,2021-11-23
16,54,2021-06-07
17,50,2021-01-02
72,72,2021-04-16
80,5,2021-06-01
4,35,2021-05-07
133,38,2021-09-21
77,77,2021-10-13
67,80,2021-05-03
119,1,2021-10-01
3,101,2021-10-17
68,77,2021-03-21
4,20,2021-06-06
82,76,2021-08-18
22,53,2021-12-23
17,81,2021-05-02
46,42,2021-09-16
35,49,2021-06-21
45,68,2020-05-31
146,19,2021-08-08
35,35,2021-08-01
57,23,2021-12-11
92,100,2021-03-20
132,29,2021-11-23
54,88,2021-08-15
17,88,2021-03-03
41,100,2021-10-04
39,99,2021-04-04
65,66,2021-10-12
130,88,2020-11-15
50,35,2021-06-04
80,82,2021-10-16
25,48,2021-07-28
21,66,2020-08-30
87,93,2021-11-16
46,66,2021-03-14
59,31,2021-01-25
17,83,2021-03-30
7,78,2021-12-22
53,5,2021-11-25
35,23,2020-10-18
65,20,2021-08-16
35,20,2021-08-02
102,86,2021-12-17
68,61,2021-10-22
39,75,2021-07-14
29,40,2021-08-27
90,59,2021-12-15
20,51,2021-08-17
105,82,2021-02-11
106,72,2021-03-14
24,80,2021-04-25
2,42,2021-07-23
56,93,2021-10-06
2,27,2021-11-25
47,48,2020-10-30
132,5,2021-12-03
40,97,2021-11-29
17,5,2021-03-26
1,42,2021-11-14
19,70,2020-10-04
32,65,2021-10-18
36,75,2021-07-11
20,86,2020-07-01
48,95,2021-10-06
10,76,2021-09-13
57,48,2021-06-16
90,93,2021-09-10
50,99,2021-10-16
77,33,2021-01-01
80,20,2021-07-14
18,48,2021-07-18
15,37,2020-10-01
62,101,2021-08-15
133,20,2021-03-20
106,45,2020-12-25
31,54,2021-11-27
45,79,2020-11-09
55,29,2021-02-06
123,74,2020-11-19
70,40,2021-02-27
40,48,2021-08-19
106,19,2020-12-16
41,48,2020-12-13
6,74,2021-02-11
38,31,2020-12-28
72,99,2021-07-12
65,96,2021-08-05
72,36,2020-11-21
68,8,2021-08-28
66,85,2021-10-24
11,20,2021-06-19
45,49,2021-10-07
38,100,2021-03-25
20,50,2021-11-08
30,75,2021-07-22
69,19,2021-06-09
93,5,2021-12-07
134,21,2020-09-09
30,53,2021-06-01
36,49,2021-04-12
46,45,2021-11-26
36,17,2021-07-13
67,81,2021-10-04
12,2,2021-11-04
9,31,2021-11-11
58,80,2021-03-03
41,8,2021-01-09
68,100,2021-06-04
72,93,2021-05-20
141,5,2020-07-08
72,54,2020-08-20
55,100,2020-09-06
59,68,2021-08-16
105,35,2021-11-09
37,75,2021-09-29
68,74,2021-09-24
35,5,2021-08-22
7,9,2021-11-17
68,33,2021-10-31
60,26,2021-08-28
134,64,2020-10-04
13,5,2021-05-05
52,75,2020-12-28
53,36,2021-11-23
119,61,2021-10-16
93,1,2021-11-14
133,48,2021-12-16
35,19,2021-12-21
97,60,2021-12-17
7,80,2021-12-30
62,81,2021-06-02
17,61,2021-08-10
38,97,2020-12-23
17,39,2020-09-22
31,45,2021-04-19
13,42,2021-09-30
28,42,2021-11-25
52,54,2021-07-29
53,74,2021-11-23
68,95,2021-12-08
28,2,2021-08-09
9,97,2021-11-11
95,85,2021-08-22
5,97,2021-12-09
48,44,2021-07-31
17,95,2020-06-11
74,19,2021-09-29
20,48,2021-09-29
26,45,2021-01-18
92,48,2021-12-10
7,5,2021-11-06
92,54,2021-03-17
40,64,2021-12-12
6,78,2020-10-30
20,88,2021-08-15
19,38,2021-03-23
141,90,2021-05-12
52,5,2021-11-08
87,101,2021-11-10
64,17,2021-10-02
105,72,2021-06-21
5,62,2021-11-19
31,77,2021-11-28
65,31,2021-05-06
105,83,2021-04-13
44,2,2020-10-07
9,30,2021-11-07
57,84,2021-07-30
28,101,2021-02-25
21,75,2021-11-03
123,78,2021-03-13
106,26,2021-07-13
59,38,2021-12-30
65,74,2021-08-06
142,21,2021-12-26
35,70,2021-06-15
1,32,2021-10-23
133,80,2021-10-07
142,96,2021-09-08
22,54,2021-12-10
27,72,2021-09-13
4,54,2020-08-27
130,7,2021-11-21
8,75,2021-10-13
142,88,2021-08-24
19,96,2021-12-11
48,73,2021-10-31
53,84,2021-11-23
119,64,2021-12-21
65,9,2021-02-26
119,72,2021-12-05
43,64,2021-07-27
12,50,2021-11-17
55,78,2021-03-31
45,34,2021-03-13
35,48,2021-03-26
22,72,2020-06-26
93,64,2021-05-18
71,86,2021-12-19
95,51,2021-12-09
9,44,2021-11-01
142,81,2021-08-30
72,82,2021-08-15
73,83,2021-01-03
40,95,2021-09-27
39,99,2021-09-26
20,83,2021-12-04
50,83,2021-07-13
15,34,2021-10-06
105,95,2020-12-22
92,37,2021-02-06
17,17,2020-10-07
5,64,2021-11-15
41,100,2020-08-29
19,72,2021-12-17
92,7,2021-10-03
141,19,2021-03-19
95,65,2021-09-11
73,19,2021-08-29
46,50,2021-04-02
17,48,2020-07-06
142,19,2021-04-14
92,19,2021-12-26
134,42,2020-09-26
9,13,2021-11-07
90,50,2021-10-17
34,80,2021-03-18
7,5,2021-12-21
46,20,2021-03-11
21,13,2021-11-16
28,64,2021-04-11
6,13,2020-11-01
24,43,2021-06-25
69,83,2021-07-10
4,82,2020-12-15
62,5,2021-08-10
50,80,2021-05-07
72,101,2021-12-04
17,83,2020-09-28
93,36,2020-12-12
134,21,2021-11-03
141,85,2021-01-31
48,5,2021-01-02
31,34,2021-12-09
20,81,2021-10-24
42,31,2021-04-04
12,5,2021-09-10
42,66,2020-11-28
39,66,2021-12-14
43,85,2021-10-31
31,75,2021-01-11
73,48,2021-08-18
4,83,2020-08-24
9,20,2021-11-02
24,14,2021-08-02
39,83,2021-06-12
19,70,2020-07-01
72,5,2020-08-28
31,73,2021-09-23
77,38,2021-02-24
36,45,2020-11-28
115,96,2020-08-23
40,70,2021-10-09
130,60,2021-12-18
32,42,2021-05-09
46,95,2021-07-08
11,5,2021-02-07
90,38,2020-11-21
7,65,2021-12-14
64,59,2021-05-22
133,8,2021-07-20
71,82,2021-06-29
54,74,2021-10-12
97,41,2021-07-01
33,82,2021-11-19
2,50,2021-12-29
1,7,2021-09-22
4,48,2020-08-08
41,65,2020-12-31
105,81,2021-12-19
4,39,2021-08-23
130,74,2021-10-13
72,72,2021-12-02
72,20,2021-04-06
28,90,2021-09-11
28,38,2021-09-04
92,99,2021-08-05
56,82,2021-07-17
65,5,2021-09-14
80,72,2021-12-25
43,36,2021-05-21
35,75,2021-11-07
60,66,2020-10-24
141,65,2020-11-28
108,75,2021-10-27
36,5,2020-12-27
21,97,2020-10-30
115,9,2021-12-04
46,82,2020-11-20
47,82,2021-05-02
92,17,2021-04-18
5,44,2021-04-19
105,1,2021-05-08
60,65,2021-06-20
41,2,2021-12-14
130,83,2021-07-04
67,100,2021-10-13
23,1,2021-02-28
16,83,2021-10-14
68,88,2021-06-07
82,99,2021-08-30
31,31,2020-11-13
75,83,2021-12-11
7,13,2021-08-06
46,75,2021-07-09
