pago_id,monto,fecha,uid,subs_id,pid,pro_id
7979,7100,2021-05-12,14,168,,
9054,6500,2021-12-29,23,274,,
10402,3500,2020-09-29,45,,38,19
9682,3900,2021-07-25,17,336,,
9627,3700,2021-10-21,8,332,,
6372,6500,2020-09-27,48,2,,
7338,7900,2021-09-28,33,102,,
9792,7100,2021-03-20,119,346,,
6469,7400,2021-02-28,141,9,,
9622,3700,2021-05-21,8,332,,
7582,7400,2021-12-08,39,126,,
7397,2800,2020-09-21,37,110,,
8036,3200,2020-08-12,12,174,,
6965,7900,2020-09-22,60,59,,
7631,3700,2021-09-05,74,133,,
6578,7100,2021-12-25,40,21,,
10628,5000,2021-01-24,46,,5,10
9267,4000,2021-12-03,65,297,,
9330,4000,2021-08-26,24,302,,
8913,3500,2021-10-22,3,260,,
10167,4000,2021-04-25,93,396,,
6571,7100,2021-05-25,40,21,,
7553,4400,2021-06-11,2,124,,
10516,8000,2021-07-11,36,,75,6
9224,4400,2021-12-30,49,292,,
9116,6500,2020-09-04,77,283,,
8792,6500,2021-11-05,16,249,,
9478,4500,2021-04-28,63,320,,
9575,3700,2021-04-04,61,328,,
9645,3100,2021-11-28,5,333,,
9778,4000,2021-08-13,123,345,,
7443,3100,2021-04-21,76,115,,
8180,7100,2020-11-11,18,187,,
8392,2800,2021-10-21,22,207,,
7225,7000,2020-08-15,70,89,,
10542,5000,2021-11-20,132,,64,3
7593,2800,2021-06-27,68,128,,
9605,5000,2021-07-15,8,331,,
8705,3700,2020-12-02,50,243,,
7235,7000,2021-06-15,70,89,,
9836,3700,2021-06-18,119,350,,
6809,3900,2021-02-14,105,43,,
8985,4000,2021-07-28,23,267,,
9799,7100,2021-10-20,119,346,,
7433,3100,2020-06-21,76,115,,
7346,7400,2021-10-22,33,104,,
10742,4000,2021-02-11,6,,74,11
7093,3100,2021-05-08,44,73,,
7694,3700,2021-01-13,55,139,,
8744,6500,2020-11-15,16,246,,
6482,7100,2021-11-04,35,10,,
9194,3500,2021-12-13,26,290,,
9399,3100,2021-05-09,31,312,,
8375,3500,2021-11-13,22,205,,
9196,3700,2020-07-06,49,291,,
9786,7100,2020-09-20,119,346,,
10432,6000,2021-11-07,9,,30,13
8973,4000,2020-07-31,23,267,,
7425,3700,2021-01-07,51,113,,
9594,3700,2021-05-23,61,328,,
7988,3700,2021-09-12,14,169,,
6577,7100,2021-11-25,40,21,,
7992,3200,2020-06-02,14,170,,
9431,5000,2021-07-21,134,317,,
8150,6400,2020-12-07,18,185,,
9793,7100,2021-04-20,119,346,,
8661,4000,2021-04-01,54,237,,
9395,3200,2020-11-05,31,311,,
8594,3500,2021-06-17,28,229,,
8496,7400,2021-02-10,19,219,,
7750,4500,2021-03-04,36,144,,
10243,5000,2021-08-14,115,403,,
7237,7000,2021-08-15,70,89,,
8716,3700,2021-11-02,50,243,,
10565,5000,2021-11-16,22,,86,20
6794,6500,2020-10-22,105,42,,
9323,4000,2021-01-26,24,302,,
7049,7400,2021-11-18,66,67,,
7459,4000,2021-05-17,76,116,,
7451,3100,2021-12-21,76,115,,
7854,4000,2021-09-25,57,154,,
10241,5000,2021-06-14,115,403,,
9565,6500,2021-08-27,61,327,,
7092,3100,2021-04-08,44,73,,
9170,7000,2021-01-24,26,287,,
7536,4500,2021-08-21,2,123,,
8314,2800,2021-11-01,15,199,,
9559,6500,2021-02-27,61,327,,
9408,3900,2021-09-30,134,313,,
8979,4000,2021-01-30,23,267,,
8302,2800,2020-11-01,15,199,,
6738,6400,2021-12-11,62,36,,
6801,6500,2021-05-22,105,42,,
7447,3100,2021-08-21,76,115,,
7075,3100,2021-09-18,66,69,,
10049,7400,2020-09-09,142,377,,
7914,3700,2020-12-05,58,160,,
10464,7000,2021-11-09,105,,35,2
8237,7900,2021-05-06,13,192,,
10205,4000,2021-11-11,115,400,,
6655,4000,2021-04-25,9,28,,
10530,3500,2021-10-26,20,,5,5
10422,9500,2021-03-09,59,,97,13
9141,2800,2021-07-23,77,284,,
6803,6500,2021-07-22,105,42,,
10009,4500,2021-09-10,25,368,,
6940,7900,2021-07-28,108,55,,
9336,2800,2021-09-19,11,303,,
9144,2800,2021-10-23,77,284,,
6618,7000,2021-09-28,146,25,,
8290,7000,2021-04-18,43,198,,
7565,3100,2021-04-03,39,125,,
8666,4000,2021-09-01,54,237,,
9095,3700,2021-01-27,46,280,,
10716,9500,2021-12-13,106,,21,7
9257,4000,2021-02-03,65,297,,
8914,3500,2021-11-22,3,260,,
9160,6500,2021-02-24,26,286,,
6886,6500,2020-09-11,41,51,,
10439,9500,2021-11-11,9,,97,13
9147,3200,2021-02-13,77,285,,
10562,6500,2021-11-22,15,,35,14
6474,7100,2021-03-04,35,10,,
6671,6500,2021-11-17,30,29,,
6448,3900,2020-12-10,141,7,,
9189,3500,2021-07-13,26,290,,
8452,7900,2021-07-09,72,215,,
6817,3900,2021-10-14,105,43,,
9210,3700,2021-09-06,49,291,,
10454,6000,2021-06-02,62,,81,5
9943,3900,2021-06-14,73,362,,
9552,3900,2021-09-19,61,326,,
9656,4000,2021-03-20,5,335,,
8158,6400,2021-08-07,18,185,,
10672,6500,2021-08-04,17,,26,6
10724,4500,2021-03-25,38,,100,18
9352,4000,2021-10-27,11,306,,
8193,7100,2021-12-11,18,187,,
7156,2800,2021-08-26,67,81,,
8224,3900,2021-01-07,13,191,,
9869,4000,2021-09-08,102,354,,
6870,3900,2021-01-28,41,48,,
8636,3700,2021-08-13,28,233,,
9327,4000,2021-05-26,24,302,,
9075,7900,2021-02-10,46,276,,
8028,3900,2021-05-20,12,173,,
9749,6500,2021-06-28,52,343,,
6551,2800,2021-11-15,82,17,,
6891,6500,2021-02-11,41,51,,
9138,2800,2021-04-23,77,284,,
9513,3100,2021-08-18,63,322,,
10688,8500,2021-10-12,52,,31,13
10410,7500,2021-10-07,45,,49,16
10242,5000,2021-07-14,115,403,,
7498,7000,2021-04-28,2,120,,
7023,5000,2020-09-15,10,65,,
8152,6400,2021-02-07,18,185,,
8339,3700,2021-03-28,15,202,,
6990,3100,2021-01-17,42,62,,
9057,4400,2020-10-04,46,275,,
9017,4400,2021-12-09,23,271,,
10455,8500,2021-08-15,62,,60,4
6672,6500,2021-12-17,30,29,,
7369,6400,2021-05-08,37,106,,
10237,5000,2021-02-14,115,403,,
10544,9000,2021-12-03,132,,5,3
6908,3500,2021-11-05,27,52,,
6375,6500,2020-12-27,48,2,,
10663,4000,2021-05-01,8,,78,19
8760,3700,2020-08-29,16,247,,
7814,7100,2021-05-28,71,151,,
9028,6400,2021-12-09,23,272,,
6691,5000,2021-04-21,32,33,,
8645,5000,2021-11-21,54,234,,
6703,3900,2021-01-08,47,34,,
9600,3700,2021-11-23,61,328,,
7377,3500,2021-06-15,37,107,,
9563,6500,2021-06-27,61,327,,
8044,3200,2021-04-12,12,174,,
7941,7000,2021-11-19,14,164,,
8292,7000,2021-06-18,43,198,,
6764,3500,2021-05-05,62,39,,
7663,4000,2021-07-10,55,136,,
6973,3500,2021-01-29,60,60,,
8252,3200,2021-08-07,13,193,,
9993,4000,2021-11-25,25,366,,
7920,3700,2021-06-05,58,160,,
8086,3700,2021-01-04,34,179,,
9586,3700,2020-09-23,61,328,,
10577,4000,2020-08-20,72,,54,9
9391,6500,2021-10-17,31,310,,
7408,2800,2021-08-21,37,110,,
6636,6500,2021-07-22,146,26,,
8623,3100,2021-08-05,28,231,,
9840,3700,2021-10-18,119,350,,
8947,7000,2021-03-24,95,264,,
7448,3100,2021-09-21,76,115,,
6421,3100,2021-07-01,48,5,,
9019,6400,2021-03-09,23,272,,
6695,5000,2021-08-21,32,33,,
7753,4500,2021-06-04,36,144,,
6864,4000,2021-12-03,41,47,,
8755,6500,2021-10-15,16,246,,
10505,6000,2020-08-27,76,,90,15
7349,3700,2021-01-17,33,105,,
10309,4000,2021-09-28,6,407,,
10524,4000,2021-11-21,57,,101,1
9774,4000,2021-04-13,123,345,,
9767,4000,2020-09-13,123,345,,
10421,6000,2021-04-01,59,,66,13
7410,2800,2021-10-21,37,110,,
8065,3700,2021-03-06,12,176,,
10674,6000,2021-10-09,17,,95,6
7460,4000,2021-06-17,76,116,,
9898,7100,2021-08-23,64,357,,
9787,7100,2020-10-20,119,346,,
9103,3500,2021-02-22,77,282,,
7356,3700,2021-08-17,33,105,,
9998,6500,2021-12-13,25,367,,
8305,2800,2021-02-01,15,199,,
8312,2800,2021-09-01,15,199,,
8020,3700,2021-11-22,132,172,,
9411,7100,2020-07-29,134,315,,
7678,4400,2021-04-16,55,138,,
7196,7100,2021-10-13,133,85,,
9814,7400,2021-02-15,119,349,,
10418,8500,2021-12-11,59,,76,18
8848,7000,2021-11-06,56,256,,
6616,7000,2021-07-28,146,25,,
10737,3000,2021-12-04,115,,9,11
9316,3700,2021-07-03,24,301,,
6998,2800,2021-03-20,10,63,,
7724,6500,2021-11-24,36,141,,
9690,6500,2020-08-13,17,337,,
8563,3200,2021-08-15,97,227,,
9773,4000,2021-03-13,123,345,,
9167,6500,2021-09-24,26,286,,
7638,3500,2021-08-01,74,134,,
9066,4400,2021-07-04,46,275,,
9118,6500,2020-11-04,77,283,,
7169,7000,2021-03-27,133,82,,
7215,3500,2021-06-04,70,88,,
6882,4000,2021-10-09,41,50,,
6934,7900,2021-01-30,108,55,,
9065,4400,2021-06-04,46,275,,
10040,7400,2021-10-16,1,372,,
9926,4400,2021-05-07,73,361,,
8294,7000,2021-08-18,43,198,,
7832,7100,2021-04-17,57,153,,
9805,3900,2021-06-30,119,347,,
8409,4500,2021-11-14,22,211,,
10080,7100,2021-11-18,142,381,,
10491,4000,2021-05-22,69,,83,14
9741,6500,2020-10-30,52,343,,
8035,3900,2021-12-20,12,173,,
10433,6000,2021-11-05,9,,66,13
9643,3100,2021-09-28,5,333,,
7739,6500,2021-11-03,36,143,,
8300,2800,2020-09-01,15,199,,
7816,7100,2021-07-28,71,151,,
7970,3900,2021-07-21,14,167,,
6951,6500,2021-04-28,108,57,,
7870,3100,2021-02-14,57,156,,
7243,4500,2021-03-15,70,90,,
10647,3000,2021-12-12,31,,38,18
9862,3200,2021-11-01,119,353,,
7506,7000,2021-12-28,2,120,,
10654,7500,2021-08-20,31,,44,13
7871,3100,2021-03-14,57,156,,
9433,5000,2021-09-21,134,317,,
8318,4000,2021-02-01,15,200,,
9501,7900,2021-10-25,63,321,,
10532,4500,2021-12-19,20,,50,5
10161,3100,2021-09-18,38,395,,
7888,4500,2021-08-09,57,157,,
7515,7900,2021-08-13,2,121,,
9080,7100,2021-07-17,46,277,,
7087,7000,2021-09-22,44,71,,
9184,3500,2021-02-13,26,290,,
10465,4000,2021-06-21,105,,72,10
7478,3700,2020-07-08,76,118,,
6899,6500,2021-10-11,41,51,,
10118,7100,2021-03-28,4,392,,
7523,6400,2021-07-16,2,122,,
9832,3700,2021-02-18,119,350,,
7806,4000,2021-09-24,71,150,,
6605,3200,2021-08-06,146,24,,
7045,7400,2021-07-18,66,67,,
7155,7000,2021-12-27,67,80,,
8084,7900,2021-10-28,34,178,,
6556,3700,2021-10-02,59,18,,
8929,7000,2021-04-24,87,262,,
6565,3100,2021-01-26,59,20,,
8001,3200,2021-03-02,14,170,,
7136,3900,2021-12-09,67,78,,
7835,7100,2021-07-17,57,153,,
7723,6500,2021-10-24,36,141,,
9576,3700,2021-05-04,61,328,,
6711,3900,2021-09-08,47,34,,
7948,4000,2020-12-08,14,166,,
9910,6500,2020-12-13,73,360,,
9532,4000,2021-06-16,61,325,,
6513,6400,2021-03-18,45,13,,
6517,6400,2021-07-18,45,13,,
7319,3700,2020-06-01,33,101,,
9680,3900,2021-05-25,17,336,,
10096,6500,2021-06-27,106,384,,
6458,3200,2020-07-06,141,8,,
9318,4000,2020-08-26,24,302,,
6873,4500,2021-10-11,41,49,,
8274,7100,2021-09-25,43,195,,
8503,7400,2021-09-10,19,219,,
10611,4500,2021-10-09,50,,75,7
7063,3100,2020-09-18,66,69,,
7493,7000,2020-11-28,2,120,,
7661,4000,2021-05-10,55,136,,
8361,3500,2020-09-13,22,205,,
10299,4000,2020-11-28,6,407,,
6687,5000,2020-12-21,32,33,,
6515,6400,2021-05-18,45,13,,
7192,7100,2021-06-13,133,85,,
8014,3700,2021-05-22,132,172,,
6442,3900,2020-06-10,141,7,,
10071,3900,2021-11-28,142,379,,
10585,3500,2021-12-09,19,,1,10
6419,3100,2021-05-01,48,5,,
7333,3700,2021-08-01,33,101,,
8608,3100,2020-05-05,28,231,,
7884,4500,2021-04-09,57,157,,
8282,7400,2021-09-12,43,197,,
10650,9500,2021-05-11,31,,97,13
8619,3100,2021-04-05,28,231,,
10181,7100,2021-06-06,93,398,,
9002,3200,2021-09-29,23,268,,
8424,3200,2021-07-07,72,213,,
9916,6500,2021-06-13,73,360,,
8909,3500,2021-06-22,3,260,,
8234,3900,2021-11-07,13,191,,
6804,6500,2021-08-22,105,42,,
7841,4000,2020-08-25,57,154,,
9097,7900,2021-11-12,77,281,,
7930,3900,2021-11-09,20,161,,
7761,4000,2021-02-23,36,145,,
6831,7900,2021-12-05,105,44,,
7254,3500,2021-05-06,92,91,,
8165,4400,2020-11-24,18,186,,
10156,3100,2021-04-18,38,395,,
10159,3100,2021-07-18,38,395,,
7364,6400,2020-12-08,37,106,,
7708,6500,2020-07-24,36,141,,
9802,3900,2021-03-31,119,347,,
7378,3500,2021-07-15,37,107,,
9935,3900,2020-10-14,73,362,,
6622,6500,2020-05-22,146,26,,
7654,6500,2021-09-22,74,135,,
8456,7900,2021-11-09,72,215,,
8402,4400,2021-11-23,22,208,,
6827,7900,2021-08-05,105,44,,
7079,6400,2021-09-26,44,70,,
8179,7100,2020-10-11,18,187,,
6682,3700,2021-08-25,32,32,,
7554,4400,2021-07-11,2,124,,
8348,7400,2021-11-05,15,203,,
10220,7400,2021-02-05,115,402,,
9940,3900,2021-03-14,73,362,,
10529,5500,2021-11-26,20,,54,5
10253,3900,2021-05-24,115,404,,
10188,3700,2021-08-30,93,399,,
10201,4000,2021-07-11,115,400,,
7534,4500,2021-06-21,2,123,,
7734,3500,2021-01-30,36,142,,
6974,3500,2021-02-28,60,60,,
8853,4000,2020-10-07,56,257,,
7137,3700,2020-11-21,67,79,,
10053,7400,2021-01-09,142,377,,
8806,4500,2021-09-29,16,252,,
10633,4000,2021-01-26,46,,72,10
8942,3500,2021-10-04,87,263,,
10431,9000,2021-11-02,9,,20,13
10607,9000,2021-08-15,54,,88,12
8380,2800,2020-10-21,22,207,,
7766,4000,2021-07-23,36,145,,
6532,3700,2020-11-05,45,15,,
9260,4000,2021-05-03,65,297,,
9708,3500,2021-07-12,130,338,,
6579,3100,2021-06-07,40,22,,
7633,3700,2021-11-05,74,133,,
6713,7100,2020-09-15,47,35,,
10001,4500,2021-01-10,25,368,,
7960,4000,2021-12-08,14,166,,
9221,4400,2021-09-30,49,292,,
8758,3700,2020-06-29,16,247,,
9548,3900,2021-05-19,61,326,,
10113,3900,2020-10-25,4,391,,
9063,4400,2021-04-04,46,275,,
6775,3700,2020-11-13,105,41,,
6635,6500,2021-06-22,146,26,,
10373,6500,2021-01-02,48,,5,16
6706,3900,2021-04-08,47,34,,
9743,6500,2020-12-30,52,343,,
7015,4000,2021-06-25,10,64,,
6876,4000,2021-04-09,41,50,,
8762,3700,2020-10-29,16,247,,
7676,4400,2021-02-16,55,138,,
8220,3900,2020-09-07,13,191,,
8726,4500,2020-11-03,50,245,,
9464,3900,2021-05-13,63,319,,
9985,4000,2021-03-25,25,366,,
8370,3500,2021-06-13,22,205,,
9804,3900,2021-05-30,119,347,,
10474,6500,2021-07-01,108,,39,1
8016,3700,2021-07-22,132,172,,
8860,4000,2021-05-07,56,257,,
7041,3900,2021-09-30,10,66,,
9984,4000,2021-02-25,25,366,,
6473,7100,2021-02-04,35,10,,
7336,3700,2021-11-01,33,101,,
8849,7000,2021-12-06,56,256,,
6478,7100,2021-07-04,35,10,,
9089,3700,2020-07-27,46,280,,
7229,7000,2020-12-15,70,89,,
6462,3200,2020-11-06,141,8,,
9269,3200,2021-04-16,65,298,,
8532,6500,2021-07-28,122,224,,
6766,3500,2021-07-05,62,39,,
8490,6500,2021-07-27,19,218,,
9011,6500,2021-11-29,23,269,,
7643,6500,2020-10-22,74,135,,
6893,6500,2021-04-11,41,51,,
7513,7900,2021-06-13,2,121,,
10743,8500,2020-10-30,6,,78,11
10214,7000,2021-07-24,115,401,,
7298,7900,2021-12-23,80,98,,
9669,3900,2020-06-25,17,336,,
7488,3700,2021-12-06,2,119,,
8937,7000,2021-12-24,87,262,,
7147,3700,2021-09-21,67,79,,
9227,3500,2021-05-09,49,293,,
8945,7000,2021-01-24,95,264,,
9482,4500,2021-08-28,63,320,,
9365,7100,2021-08-03,11,307,,
7687,3700,2020-06-13,55,139,,
7323,3700,2020-10-01,33,101,,
6731,6400,2021-05-11,62,36,,
9863,3200,2021-12-01,119,353,,
9498,7900,2021-07-25,63,321,,
8823,7900,2020-09-23,16,254,,
10179,7100,2021-04-06,93,398,,
9824,7400,2021-12-15,119,349,,
10298,4000,2020-10-28,6,407,,
8310,2800,2021-07-01,15,199,,
9250,7900,2021-08-14,65,296,,
8265,4000,2021-01-20,43,194,,
8861,4000,2021-06-07,56,257,,
10528,5000,2020-07-01,20,,86,20
10254,3900,2021-06-24,115,404,,
9385,6500,2021-04-17,31,310,,
9284,6500,2021-05-25,24,299,,
10306,4000,2021-06-28,6,407,,
8988,4000,2021-10-28,23,267,,
8444,7900,2020-11-09,72,215,,
8447,7900,2021-02-09,72,215,,
9974,3900,2021-09-21,25,365,,
8732,4500,2021-05-03,50,245,,
7853,4000,2021-08-25,57,154,,
10115,7100,2020-12-30,4,392,,
9683,3900,2021-08-25,17,336,,
7480,3700,2020-09-08,76,118,,
7496,7000,2021-02-28,2,120,,
6909,3500,2021-12-05,27,52,,
8604,3700,2021-09-30,28,230,,
7239,7000,2021-10-15,70,89,,
7343,3200,2021-11-17,33,103,,
10134,4500,2021-04-22,4,393,,
7373,6400,2021-09-08,37,106,,
9225,3500,2021-03-09,49,293,,
9337,2800,2021-10-19,11,303,,
9205,3700,2021-04-06,49,291,,
10424,7000,2021-12-29,59,,33,18
9705,6500,2021-11-13,17,337,,
6795,6500,2020-11-22,105,42,,
8407,3100,2021-11-29,22,210,,
6889,6500,2020-12-11,41,51,,
9104,3500,2021-03-22,77,282,,
8463,4000,2021-01-01,72,216,,
10557,6500,2020-11-29,13,,48,5
8341,3700,2021-05-28,15,202,,
9527,4000,2021-01-16,61,325,,
7106,4500,2021-08-16,44,75,,
9698,6500,2021-04-13,17,337,,
10272,3700,2021-02-09,115,405,,
9288,6500,2021-09-25,24,299,,
8141,3700,2021-04-09,18,184,,
10437,9000,2021-11-10,9,,45,13
10598,5000,2021-11-25,28,,42,4
6604,3200,2021-07-06,146,24,,
6999,2800,2021-04-20,10,63,,
8576,4000,2021-03-28,97,228,,
10095,6500,2021-05-27,106,384,,
9650,4000,2020-09-20,5,335,,
8298,7000,2021-12-18,43,198,,
9715,7400,2021-12-29,130,339,,
7700,3700,2021-07-13,55,139,,
8247,3200,2021-03-07,13,193,,
8323,4000,2021-07-01,15,200,,
8583,4000,2021-10-28,97,228,,
7578,7400,2021-08-08,39,126,,
10363,2800,2021-10-12,90,411,,
6461,3200,2020-10-06,141,8,,
10218,7000,2021-11-24,115,401,,
7112,3900,2021-04-23,44,76,,
6490,4500,2021-04-02,35,11,,
8335,3100,2021-12-25,15,201,,
10722,5000,2021-02-06,4,,100,1
7711,6500,2020-10-24,36,141,,
9644,3100,2021-10-28,5,333,,
6920,4500,2021-06-24,108,53,,
7586,3700,2021-10-09,39,127,,
9239,2800,2021-12-16,49,294,,
7635,3500,2021-05-01,74,134,,
9434,5000,2021-10-21,134,317,,
10637,7000,2021-01-04,24,,33,18
7579,7400,2021-09-08,39,126,,
10352,2800,2020-11-12,90,411,,
7383,3500,2021-12-15,37,107,,
7270,7400,2021-11-30,92,95,,
10578,3500,2020-11-09,72,,36,11
9360,7100,2021-03-03,11,307,,
9722,3900,2021-04-28,130,340,,
8886,7400,2021-11-03,56,258,,
9485,4500,2021-11-28,63,320,,
10180,7100,2021-05-06,93,398,,
7525,6400,2021-09-16,2,122,,
10619,5000,2021-07-12,87,,42,4
7117,3900,2021-09-23,44,76,,
6436,3700,2021-07-13,141,6,,
10668,5500,2021-08-10,17,,61,6
9186,3500,2021-04-13,26,290,,
10721,1000,2021-08-02,4,,31,9
9893,7100,2021-03-23,64,357,,
9021,6400,2021-05-09,23,272,,
10526,1000,2020-06-03,58,,43,2
7226,7000,2020-09-15,70,89,,
8011,4400,2021-11-19,132,171,,
8473,4000,2021-11-01,72,216,,
6427,3700,2020-10-13,141,6,,
9444,7100,2021-05-13,63,318,,
8551,3500,2021-05-25,97,226,,
8345,3700,2021-09-28,15,202,,
7022,5000,2020-08-15,10,65,,
7651,6500,2021-06-22,74,135,,
9514,3100,2021-09-18,63,322,,
9014,7900,2021-11-03,23,270,,
10042,7900,2021-12-12,1,373,,
9704,6500,2021-10-13,17,337,,
7006,2800,2021-11-20,10,63,,
7123,3700,2020-08-05,44,77,,
7664,4000,2021-08-10,55,136,,
9733,3900,2021-09-11,52,341,,
10342,4400,2021-06-13,90,409,,
9962,3500,2021-12-12,73,364,,
9040,3700,2021-07-14,23,273,,
9657,4000,2021-04-20,5,335,,
10120,7100,2021-05-28,4,392,,
7366,6400,2021-02-08,37,106,,
7086,7000,2021-08-22,44,71,,
7128,3900,2021-04-09,67,78,,
7705,5000,2021-10-18,36,140,,
8761,3700,2020-09-29,16,247,,
8326,4000,2021-10-01,15,200,,
9845,6500,2021-09-30,119,351,,
10370,9000,2021-03-08,48,,20,13
9125,6500,2021-06-04,77,283,,
8445,7900,2020-12-09,72,215,,
9744,6500,2021-01-30,52,343,,
10015,4000,2021-08-25,25,369,,
8045,3200,2021-05-12,12,174,,
8831,7900,2021-05-23,16,254,,
10061,7400,2021-09-09,142,377,,
8351,4000,2021-06-29,22,204,,
9830,3700,2020-12-18,119,350,,
7012,4000,2021-03-25,10,64,,
10591,6500,2021-12-27,122,,26,6
7213,3500,2021-04-04,70,88,,
10427,7500,2021-12-02,146,,80,16
7752,4500,2021-05-04,36,144,,
8233,3900,2021-10-07,13,191,,
6751,3900,2021-04-22,62,38,,
10671,8500,2021-09-03,17,,65,5
6938,7900,2021-05-28,108,55,,
6714,7100,2020-10-15,47,35,,
10362,2800,2021-09-12,90,411,,
9142,2800,2021-08-23,77,284,,
7275,3700,2020-09-09,92,97,,
6734,6400,2021-08-11,62,36,,
9880,3100,2021-11-11,64,355,,
7745,4500,2020-10-04,36,144,,
8382,2800,2020-12-21,22,207,,
9582,3700,2021-11-04,61,328,,
10104,3200,2021-06-08,106,388,,
8601,3700,2021-06-30,28,230,,
